"barrio","registros"
"Caballito",293
"Flores",213
"Lanús",172
"Almagro",163
"Avellaneda",150
"Villa Crespo",148
"Villa del Parque",146
"Palermo",129
"Belgrano",108
"Monte Castro",84
"La Matanza",84
"Parque Chacabuco",80
"Villa Santa Rita",71
"General San Martín",67
"San Fernando",66
"Lomas de Zamora",66
"Villa Devoto",65
"Balvanera",65
"Quilmes",62
"Almirante Brown",56
"Mataderos",56
"Tres de Febrero",56
"Liniers",55
"Parque Avellaneda",55
"Villa Urquiza",54
"Recoleta",50
"Floresta",49
"Vicente López",48
"Boedo",47
"Paternal",47
"Villa Gral. Mitre",46
"Versalles",44
"Nueva Pompeya",40
"La Plata",40
"San Cristóbal",40
"Núñez",39
"Villa Real",37
"Villa Lugano",35
"San Isidro",33
"Saavedra",33
"Morón",28
"Esteban Echeverría",27
"Vélez Sársfield",27
"Villa Riachuelo",25
"Berazategui",25
"Villa Luro",24
"Constitución",23
"Monserrat",21
"Boca",20
"Parque Patricios",19
"Moreno",18
"San Nicolás",18
"San Telmo",18
"Barracas",17
"Parque Chas",17
"Villa Pueyrredón",17
"Colegiales",15
"Hurlingham",14
"Ituzaingó",14
"Villa Ortúzar",14
"Agronomía",13
"Rosario",12
"Ezeiza",12
"Chacarita",12
"Puerto Madero",11
"Tigre",11
"Malvinas Argentinas",10
"Villa Soldati",10
"Coghlan",9
"Florencio Varela",8
"Merlo",7
"Retiro",5
"Córdoba",5
"San Miguel",4
"José C. Paz",3
"Mendoza",3
